Unnamed: 0,Alpha_1,Alpha_2,Alpha_3,Alpha_4,Beta_1,Beta_2,Beta_3,Beta_4,Delta_1,Delta_2,Delta_3,Delta_4,Theta_1,Theta_2,Theta_3,Theta_4,Gamma_1,Gamma_2,Gamma_3,Gamma_4,Section,slideNumber
15662,0.342,0.10099999999999999,0.511,0.10099999999999999,0.255,0.055,0.23199999999999998,0.027999999999999997,0.514,0.157,0.253,0.397,0.196,0.28600000000000003,0.14800000000000002,0.41,0.04,0.2,0.6459999999999999,0.563,1.0,2.0
15663,0.342,0.28600000000000003,0.593,0.10099999999999999,0.255,0.024,0.29100000000000004,0.027999999999999997,0.514,0.204,0.253,0.397,0.196,0.23800000000000002,0.20199999999999999,0.41,0.04,0.025,0.6829999999999999,0.563,1.0,2.0
15664,0.342,0.382,0.645,0.10099999999999999,0.255,0.003,0.33799999999999997,0.027999999999999997,0.514,0.27699999999999997,0.24100000000000002,0.397,0.196,0.19899999999999998,0.226,0.41,0.04,0.073,0.6859999999999999,0.563,1.0,2.0
15665,0.342,0.252,0.635,0.10099999999999999,0.255,0.013999999999999999,0.364,0.027999999999999997,0.514,0.331,0.188,0.397,0.196,0.168,0.225,0.41,0.04,0.292,0.6609999999999999,0.563,1.0,2.0
15666,0.342,0.012,0.586,0.10099999999999999,0.255,0.005,0.365,0.027999999999999997,0.514,0.308,0.14400000000000002,0.397,0.196,0.138,0.212,0.41,0.04,0.494,0.625,0.563,1.0,2.0
15667,0.342,0.192,0.54,0.10099999999999999,0.255,0.02,0.35200000000000004,0.027999999999999997,0.514,0.27899999999999997,0.14,0.397,0.196,0.10800000000000001,0.19699999999999998,0.41,0.04,0.626,0.598,0.563,1.0,2.0
15668,0.342,0.326,0.519,0.10099999999999999,0.255,0.047,0.33399999999999996,0.027999999999999997,0.514,0.26,0.142,0.397,0.196,0.078,0.187,0.41,0.04,0.6940000000000001,0.594,0.563,1.0,2.0
15669,0.342,0.396,0.523,0.10099999999999999,0.255,0.066,0.32,0.027999999999999997,0.514,0.245,0.17800000000000002,0.39299999999999996,0.17,0.053,0.183,0.41100000000000003,0.146,0.721,0.613,0.528,1.0,2.0
15670,0.34700000000000003,0.42100000000000004,0.545,0.091,0.261,0.07,0.313,0.028999999999999998,0.514,0.244,0.23199999999999998,0.39299999999999996,0.17600000000000002,0.032,0.183,0.426,0.272,0.727,0.644,0.485,1.0,2.0
15671,0.364,0.426,0.568,0.068,0.255,0.063,0.309,0.017,0.514,0.244,0.259,0.39299999999999996,0.207,0.018000000000000002,0.184,0.455,0.34600000000000003,0.727,0.6729999999999999,0.439,1.0,2.0
15672,0.39,0.426,0.583,0.05,0.243,0.054000000000000006,0.309,0.006,0.514,0.244,0.275,0.39299999999999996,0.257,0.011000000000000001,0.185,0.48700000000000004,0.32,0.726,0.685,0.39299999999999996,1.0,2.0
15673,0.42100000000000004,0.425,0.588,0.040999999999999995,0.223,0.044000000000000004,0.313,0.028999999999999998,0.514,0.245,0.292,0.39299999999999996,0.257,0.006,0.18100000000000002,0.48700000000000004,0.32,0.725,0.68,0.39299999999999996,1.0,2.0
15674,0.42100000000000004,0.425,0.585,0.040999999999999995,0.223,0.032,0.326,0.028999999999999998,0.514,0.245,0.311,0.39299999999999996,0.257,0.0,0.174,0.48700000000000004,0.32,0.725,0.669,0.39299999999999996,1.0,2.0
15675,0.42100000000000004,0.425,0.5760000000000001,0.040999999999999995,0.223,0.017,0.35100000000000003,0.028999999999999998,0.514,0.245,0.314,0.39299999999999996,0.257,0.003,0.163,0.48700000000000004,0.32,0.726,0.652,0.39299999999999996,1.0,2.0
15676,0.42100000000000004,0.426,0.563,0.040999999999999995,0.223,0.003,0.387,0.028999999999999998,0.514,0.244,0.311,0.39299999999999996,0.257,0.006,0.152,0.48700000000000004,0.32,0.726,0.627,0.39299999999999996,1.0,2.0
15677,0.42100000000000004,0.42700000000000005,0.55,0.040999999999999995,0.223,0.003,0.423,0.028999999999999998,0.256,0.24100000000000002,0.272,0.0,0.15,0.027999999999999997,0.14300000000000002,0.275,0.015,0.7240000000000001,0.593,0.48,1.0,2.0
15678,0.205,0.426,0.55,0.008,0.005,0.001,0.445,0.045,0.318,0.23399999999999999,0.253,0.04,0.205,0.05,0.139,0.3,0.07200000000000001,0.713,0.5529999999999999,0.483,1.0,2.0
15679,0.204,0.419,0.5720000000000001,0.068,0.034,0.004,0.45,0.006,0.366,0.223,0.252,0.08,0.244,0.063,0.145,0.299,0.11699999999999999,0.6779999999999999,0.513,0.49200000000000005,1.0,2.0
15680,0.191,0.387,0.62,0.11900000000000001,0.061,0.001,0.45,0.024,0.43,0.196,0.254,0.12300000000000001,0.284,0.068,0.162,0.284,0.13,0.596,0.485,0.495,1.0,2.0
15681,0.146,0.308,0.6890000000000001,0.156,0.081,0.023,0.461,0.042,0.46,0.07,0.263,0.18100000000000002,0.33,0.07200000000000001,0.188,0.267,0.11699999999999999,0.449,0.47,0.491,1.0,2.0
15682,0.075,0.16399999999999998,0.764,0.175,0.094,0.064,0.484,0.045,0.496,0.106,0.302,0.245,0.37,0.081,0.214,0.253,0.09300000000000001,0.233,0.456,0.502,1.0,2.0
